tweet_textall_hashtags

b'#jetblue more delayed flights than any airline...I swear.   3:15 4-5 delays to now 7pm.  Now I know what these TV sets are for...',['jetblue']
,
"b'Made a good move today with #JetBlue also. They beat earnings expectations, although seat mile will slow, fuel cost are also going down. Up 7.31% today \xf0\x9f\x91\x8c\xf0\x9f\xa4\x97\xf0\x9f\xa4\x91'",['JetBlue']
,
"b'I miss this island. Flew from San Juan Puerto Rico to Hartford, CT on my favorite carrier, @jetblue  Easy boarding, on-time, plenty of legroom. #every-time #jetblue #flight #puertorico #aviationlovers #airplane #pr\xe2\x80\xa6 https://t.co/Od4aTjs1OM'","['every', 'jetblue', 'flight', 'puertorico', 'aviationlovers', 'airplane', 'pr']"
,
b'What is @JetBlue doing to explain to me why I was taken off a flight home to a funeral because an employee decided to cancel my ticket at FLL? His name is Keeno. He laughed in my face as I pleaded. #jetblue #worstairline #jetblueworstairline  @Vacasean44 https://t.co/a5mKIuRVc9',"['jetblue', 'worstairline', 'jetblueworstairline']"
,
b'#JetBlue launches a new \xe2\x80\x93 and maybe useful \xe2\x80\x93 #carryon bag fee trial | https://t.co/dpZmo2DPIW #Travel #Paxex #Avgeek #Airlines',"['JetBlue', 'carryon', 'Travel', 'Paxex', 'Avgeek', 'Airlines']"
,
"b'@JetBlue a shoutout for Bianca on Flt 1031 BOS to HOU this morning. Quite possibly the most polite flight attendant I\xe2\x80\x99ve ever had the pleasure of flying with! It\xe2\x80\x99s all about your team, they\xe2\x80\x99re awesome! #JetBlue #thankyou'","['JetBlue', 'thankyou']"
,
b'Glad she got caught. #Thief. #Boston  #JetBlue Agent Faces 20 Years for Scamming #Airline | Travel + Leisure \xe2\x9c\x88https://t.co/vCJH3JEixM',"['Thief', 'Boston', 'JetBlue', 'Airline']"
,
"b'Check out additional photos from Day 4 of the seminar for @esadeexed at the #Jetblue headquarters in Long Island City, NY.   #technology #tech #Esadeemiba #centertechmgmt #analytics #datasciences #ESADE #AI #digital https://t.co/S5oE5ZqyRN'","['Jetblue', 'technology', 'tech', 'Esadeemiba', 'centertechmgmt', 'analytics', 'datasciences', 'ESADE', 'AI', 'digital']"
,
"b'The morning program on Day 4 of the Managing Data #Analytics Seminar for @esadeexed was at #Jetblue. Eash Sundaram, Chief Digital &amp; Technology Officer, and the @Jetblue executive team discussed their #technology and industry with the students.  #tech #Esadeemiba #centertechmgmt https://t.co/bPRug6NdDJ'","['Analytics', 'Jetblue', 'technology', 'tech', 'Esadeemiba', 'centertechmgmt']"
,
"b'When you take #Delta instead of #jetblue there are consequences. Such as your #flight being inevitably, inexplicably #delayed. Which leads to you watching your #amtrak #firstclass dreams vanishing into air as you\xe2\x80\xa6 https://t.co/vD165vVJ6c'","['Delta', 'jetblue', 'flight', 'delayed', 'amtrak', 'firstclass']"
,
b'Okay it\xe2\x80\x99s official #jetblue is the best airline',['jetblue']
,
b'@JetBlue Thanks #JETBLUE for the info and update',['JETBLUE']
,
b'Starting a trip to Germany with #JETBLUE is no fun \xf0\x9f\xa4\xaf https://t.co/1xukg6uPRT',['JETBLUE']
,
"b'#JetBlue Airways up 4.8% = $236.3 million gain. At $5.1 billion marketCap, $JBLU represents 7.9% of the $64.6 billion #NASDAQ/#NYSE #airlines industry.  https://t.co/mrrW5DNzWp #stockMarket #stocks #trading #market #investing #NASDAQ #NYSE https://t.co/1QzZcuodyg'","['JetBlue', 'NASDAQ', 'NYSE', 'airlines', 'stockMarket', 'stocks', 'trading', 'market', 'investing', 'NASDAQ', 'NYSE']"
,
b'@JetBlue Update on this for ppl who want to know what happened. I filed a report with DOT. Jetblue claimed basically nothing happened and just offered me some credits with expiration which is useless. Very sad and disrespectful. No support or wheel chair. #pregnant #NOHELP #jetblue',"['pregnant', 'NOHELP', 'jetblue']"
,
b'Upgraded myself to @jetblue Mint for my long haul to San Diego from Boston for icsc #icsclaw #firstclass #mint #jetblue #icsc #icsclaw #conference #sandiego @ Jet Blue Terminal - Boston Logan International Airport https://t.co/ohg1p7oMOW',"['icsclaw', 'firstclass', 'mint', 'jetblue', 'icsc', 'icsclaw', 'conference', 'sandiego']"
,
b'Early morning flight \xe2\x9c\x88\xef\xb8\x8f to New York!  Hope y\xe2\x80\x99all have a great Tuesday \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd  . . . #yourstrulydjcoolie\xf0\x9f\x98\x89 #bookdjcoolie #airplanepapi #florida #newyork #jetblue #music #passion #goodvibes #stoli @ Fort\xe2\x80\xa6 https://t.co/zedWuh4kxS',"['yourstrulydjcoolie', 'bookdjcoolie', 'airplanepapi', 'florida', 'newyork', 'jetblue', 'music', 'passion', 'goodvibes', 'stoli']"
,
b'#gurrrrl #JetBlue Agent Faces 20 Years for Scamming Airline | Travel + Leisure https://t.co/PUT4qSclXS',"['gurrrrl', 'JetBlue']"
